"","Number","Name","Position","Birth date","Birth Country","Bats","Throws","Team","position_group","age"
"544","99","Jonathan Aro","P","1990-10-10","Dominican Republic","R","R","El Aguila de Veracruz","Pitchers",35
"545","2","Jonathan Bermúdez","P","1995-10-16","Puerto Rico","L","L","El Aguila de Veracruz","Pitchers",30
"546","50","Jose Ary Torres","C","2004-06-04","Mexico","R","R","El Aguila de Veracruz","Catchers",21
"547","27","Jose Heberto Felix","C","1988-06-28","Mexico","R","R","El Aguila de Veracruz","Catchers",37
"548","36","Kazutomo Iguchi","P","1994-01-07","Japan","R","R","El Aguila de Veracruz","Pitchers",32
"549","68","Kristian Delgado","3B","1993-07-19","Mexico","R","R","El Aguila de Veracruz","Infield",32
"550","16","Luis Marquez","P","1997-11-29","Mexico","L","L","El Aguila de Veracruz","Pitchers",28
"551","12","Mario Jimenez","P","1995-12-06","Mexico","R","R","El Aguila de Veracruz","Pitchers",30
"552","31","Nick Gardewine","P","1993-08-15","USA","R","R","El Aguila de Veracruz","Pitchers",32
"553","26","Norman Elenes","P","1992-07-10","Mexico","L","R","El Aguila de Veracruz","Pitchers",33
"554","30","Roberto Valenzuela","SS","1995-03-03","Mexico","R","R","El Aguila de Veracruz","Infield",31
"555","15","Sebastián Elizalde","OF","1991-11-20","Mexico","L","R","El Aguila de Veracruz","Outfield",34
"556","42","TT Bowens","1B","1998-05-27","USA","R","R","El Aguila de Veracruz","Infield",27
"557","46","Yorvin Pantoja","P","1997-09-22","Venezuela","L","L","El Aguila de Veracruz","Pitchers",28
"558","33","Abraham Almonte","OF","1989-06-27","Dominican Republic","S","R","Conspiradores de Queretaro","Outfield",36
"559","7","Alen Hanson","OF","1992-10-22","Dominican Republic","S","R","Conspiradores de Queretaro","Outfield",33
"560","76","Anthony Vizcaya","P","1993-10-24","Venezuela","R","R","Conspiradores de Queretaro","Pitchers",32
"561","84","Arturo Rodriguez","C","1991-10-03","Mexico","R","R","Conspiradores de Queretaro","Catchers",34
"562","44","Christopher Escarrega","C","1999-07-17","Mexico","S","R","Conspiradores de Queretaro","Catchers",26
"563","22","Daniel Castro","SS","1992-11-14","Mexico","R","R","Conspiradores de Queretaro","Infield",33
"564","17","Denny Roman","P","1998-09-30","Mexico","L","L","Conspiradores de Queretaro","Pitchers",27
"565","58","Diego Soto","OF","2003-12-09","Mexico","R","R","Conspiradores de Queretaro","Outfield",22
"566","24","Dwight Smith Jr.","OF","1992-10-26","USA","L","R","Conspiradores de Queretaro","Outfield",33
"567","8","Ernesto Zaragoza","P","1992-09-26","USA","R","R","Conspiradores de Queretaro","Pitchers",33
"568","32","Esmil Rogers","P","1985-08-14","Dominican Republic","R","R","Conspiradores de Queretaro","Pitchers",40
"569","51","Henry Urrutia","1B","1987-02-13","Cuba","L","R","Conspiradores de Queretaro","Infield",39
"570","10","Isaac Jimenez","P","1995-12-12","Mexico","R","R","Conspiradores de Queretaro","Pitchers",30
"571","53","Jio Orozco","P","1997-08-15","USA","R","R","Conspiradores de Queretaro","Pitchers",28
"572","43","Joel Cesar","P","1996-01-26","Dominican Republic","R","R","Conspiradores de Queretaro","Pitchers",30
"573","13","Jose Betances","P","1999-10-17","Dominican Republic","R","R","Conspiradores de Queretaro","Pitchers",26
"574","20","Jose Robledo","SS","2003-09-14","Mexico","S","R","Conspiradores de Queretaro","Infield",22
"575","41","Junior Guerra","P","1985-01-16","VEN","R","R","Conspiradores de Queretaro","Pitchers",41
"576","39","Kelvin Gutiérrez","3B","1994-08-28","Dominican Republic","R","R","Conspiradores de Queretaro","Infield",31
"577","37","Keven Lamas","SS","1998-11-08","Mexico","R","R","Conspiradores de Queretaro","Infield",27
"578","60","Luis Ochoa","P","2001-06-19","Mexico","R","R","Conspiradores de Queretaro","Pitchers",24
"579","11","Luis Romero","P","1994-04-23","Cuba","R","R","Conspiradores de Queretaro","Pitchers",31
"580","69","Rainel Rosario","OF","1989-03-29","Dominican Republic","R","R","Conspiradores de Queretaro","Outfield",37
"581","5","Rangel Ravelo","1B","1992-04-24","Cuba","R","R","Conspiradores de Queretaro","Infield",33
"582","89","Reymin Guduan","P","1992-03-16","Dominican Republic","L","L","Conspiradores de Queretaro","Pitchers",34
"583","83","Roman Mendez","P","1990-07-25","Dominican Republic","R","R","Conspiradores de Queretaro","Pitchers",35
"584","27","Sebastian Lizarraga","C","1999-08-27","Mexico","L","R","Conspiradores de Queretaro","Catchers",26
"585","31","Tyler Alexander","P","1991-09-22","USA","L","L","Conspiradores de Queretaro","Pitchers",34
"586","46","Tyler Viza","P","1994-10-21","USA","R","R","Conspiradores de Queretaro","Pitchers",31
"587","25","Wellington Diaz","P","1997-04-25","Dominican Republic","R","R","Conspiradores de Queretaro","Pitchers",28
"588","26","Yangervis Solarte","3B","1987-07-03","Venezuela","S","R","Conspiradores de Queretaro","Infield",38
"589","47","Yurisbel Gracial","3B","1985-10-14","Cuba","R","R","Conspiradores de Queretaro","Infield",40
"590","16","A.J. Puckett","P","1995-05-27","USA","R","R","Charros de Jalisco","Pitchers",30
"591","32","Aaron McGarity","P","1995-01-31","USA","R","R","Charros de Jalisco","Pitchers",31
"592","68","Alejandro Quezada","OF","2001-12-01","Mexico","L","R","Charros de Jalisco","Outfield",24
"593","8","Alfredo Hurtado","C","1997-09-19","Mexico","S","R","Charros de Jalisco","Catchers",28
"594","13","Allen Córdoba","OF","1995-12-06","Panama","R","R","Charros de Jalisco","Outfield",30
"595","6","Billy Hamilton","OF","1990-09-09","USA","S","R","Charros de Jalisco","Outfield",35
"596","23","Cesar Gomez","P","1998-07-09","USA","L","R","Charros de Jalisco","Pitchers",27
"597","2","Donny Sands","C","1996-05-16","USA","R","R","Charros de Jalisco","Catchers",29
"598","31","Elkin Alcala","P","1997-08-02","Colombia","R","R","Charros de Jalisco","Pitchers",28
"599","96","Hugo Sanchez","1B","2002-11-06","Mexico","L","R","Charros de Jalisco","Infield",23
"600","18","Irving Lopez","2B","1995-06-30","Mexico","L","R","Charros de Jalisco","Infield",30
"601","25","Jared Walsh","OF","1993-07-30","USA","L","L","Charros de Jalisco","Outfield",32
"602","85","Jesus Cordova","C","2001-06-12","Mexico","R","R","Charros de Jalisco","Catchers",24
"603","48","Johneshwy Fargas","OF","1994-12-15","Puerto Rico","R","R","Charros de Jalisco","Outfield",31
"604","87","Jose Aguilar","RF","1990-05-19","Mexico","R","R","Charros de Jalisco","Outfield",35
"605","77","Jose Montijo","P","2007-09-14","Mexico","R","R","Charros de Jalisco","Pitchers",18
"606","35","Josh Green","P","1995-08-31","USA","R","R","Charros de Jalisco","Pitchers",30
"607","19","Joshua Fuentes","3B","1993-02-19","USA","R","R","Charros de Jalisco","Infield",33
"608","66","Juan Robles","P","1997-11-06","Mexico","R","R","Charros de Jalisco","Pitchers",28
"609","27","Kurt Heyer","P","1991-01-23","USA","L","R","Charros de Jalisco","Pitchers",35
"610","41","Kyle Garlick","1B","1992-01-26","USA","R","R","Charros de Jalisco","Infield",34
"611","73","Luis Carlos Martinez","IF","2002-12-11","Mexico","R","R","Charros de Jalisco","Infield",23
"612","54","Luis Ivan Rodriguez","P","1996-08-24","Mexico","R","R","Charros de Jalisco","Pitchers",29
"613","92","Luis Payan","P","1995-08-29","Mexico","R","R","Charros de Jalisco","Pitchers",30
"614","3","Mateo Gil","3B","2000-07-24","USA","R","R","Charros de Jalisco","Infield",25
"615","60","Miguel Aguilar","P","1991-09-26","Mexico","L","L","Charros de Jalisco","Pitchers",34
"616","91","Rafael Cordova","P","1994-11-16","USA","R","R","Charros de Jalisco","Pitchers",31
"617","56","Stephen Gonsalves","P","1994-07-08","USA","L","L","Charros de Jalisco","Pitchers",31
"618","5","Willie Calhoun","1B","1994-11-04","USA","L","R","Charros de Jalisco","Infield",31
"619","93","Zac Grotz","P","1993-02-17","USA","R","R","Charros de Jalisco","Pitchers",33
"620","65","Zach Plesac","P","1995-01-21","USA","R","R","Charros de Jalisco","Pitchers",31
